    parsed | total average parse time | recent average parse time |       kept | % of total |   last kept | last kept time | elapsed time

     31984 |                   0.97ms |                   1.048ms |         56 |     0.175% |     Q261411 |    10:29:19 PM |     00:00:31
     33332 |                  0.961ms |                   0.741ms |         58 |     0.174% |     Q279039 |    10:29:21 PM |     00:00:32
     34749 |                   0.95ms |                   0.706ms |         60 |     0.173% |     Q288821 |    10:29:22 PM |     00:00:33
     36254 |                  0.938ms |                   0.665ms |         61 |     0.168% |     Q301876 |    10:29:23 PM |     00:00:34
     37219 |                  0.941ms |                   1.036ms |         62 |     0.167% |     Q318773 |    10:29:24 PM |     00:00:35
     38493 |                  0.936ms |                   0.785ms |         63 |     0.164% |     Q323438 |    10:29:25 PM |     00:00:36
     39844 |                  0.929ms |                    0.74ms |         64 |     0.161% |     Q340154 |    10:29:26 PM |     00:00:37
     41354 |                  0.919ms |                   0.662ms |         65 |     0.157% |     Q352045 |    10:29:27 PM |     00:00:38
     42774 |                  0.912ms |                   0.704ms |         65 |     0.152% |     Q352045 |    10:29:27 PM |     00:00:39
     44182 |                  0.906ms |                   0.712ms |         66 |     0.149% |     Q379859 |    10:29:29 PM |     00:00:40
     45749 |                  0.897ms |                   0.638ms |         68 |     0.149% |     Q384631 |    10:29:30 PM |     00:00:41
     47539 |                  0.884ms |                   0.559ms |         72 |     0.151% |     Q409145 |    10:29:31 PM |     00:00:42
     48859 |                  0.881ms |                   0.758ms |         74 |     0.151% |     Q420927 |    10:29:32 PM |     00:00:43
     50354 |                  0.874ms |                   0.669ms |         75 |     0.149% |     Q428914 |    10:29:33 PM |     00:00:44
     51880 |                  0.868ms |                   0.655ms |         77 |     0.148% |     Q447782 |    10:29:34 PM |     00:00:45
     53243 |                  0.864ms |                   0.734ms |         77 |     0.145% |     Q447782 |    10:29:34 PM |     00:00:46
     54455 |                  0.864ms |                   0.825ms |         79 |     0.145% |     Q473749 |    10:29:36 PM |     00:00:47
     56073 |                  0.857ms |                   0.619ms |         81 |     0.144% |     Q485130 |    10:29:37 PM |     00:00:48
     57509 |                  0.853ms |                   0.696ms |         87 |     0.151% |     Q498179 |    10:29:38 PM |     00:00:49
     58679 |                  0.853ms |                   0.855ms |         92 |     0.157% |     Q510755 |    10:29:39 PM |     00:00:50
     60124 |                  0.849ms |                   0.692ms |         92 |     0.153% |     Q510755 |    10:29:39 PM |     00:00:51
     61576 |                  0.845ms |                   0.689ms |         92 |     0.149% |     Q510755 |    10:29:39 PM |     00:00:52
     62965 |                  0.842ms |                   0.721ms |         95 |     0.151% |     Q545929 |    10:29:42 PM |     00:00:53
     64344 |                   0.84ms |                   0.724ms |         96 |     0.149% |     Q559526 |    10:29:43 PM |     00:00:54
     65911 |                  0.835ms |                   0.651ms |         98 |     0.149% |     Q571378 |    10:29:44 PM |     00:00:55
     67555 |                   0.83ms |                   0.608ms |         99 |     0.147% |     Q585624 |    10:29:45 PM |     00:00:56
     69256 |                  0.824ms |                   0.588ms |        101 |     0.146% |     Q603244 |    10:29:46 PM |     00:00:57
     70983 |                  0.818ms |                   0.579ms |        104 |     0.147% |     Q618362 |    10:29:47 PM |     00:00:58
     72674 |                  0.813ms |                   0.591ms |        108 |     0.149% |     Q623377 |    10:29:48 PM |     00:00:59
     74247 |                  0.809ms |                   0.636ms |        109 |     0.147% |     Q640536 |    10:29:49 PM |     00:01:00
     75824 |                  0.805ms |                   0.634ms |        112 |     0.148% |     Q659744 |    10:29:50 PM |     00:01:01
     77458 |                  0.801ms |                   0.612ms |        116 |      0.15% |     Q673321 |    10:29:51 PM |     00:01:02
     79146 |                  0.797ms |                   0.592ms |        116 |     0.147% |     Q673321 |    10:29:51 PM |     00:01:03
     80696 |                  0.794ms |                   0.645ms |        117 |     0.145% |     Q691942 |    10:29:53 PM |     00:01:04
     82055 |                  0.793ms |                   0.736ms |        120 |     0.146% |     Q707419 |    10:29:54 PM |     00:01:05
     83493 |                  0.791ms |                   0.695ms |        128 |     0.153% |     Q727745 |    10:29:55 PM |     00:01:06
     85099 |                  0.788ms |                   0.623ms |        130 |     0.153% |     Q740900 |    10:29:56 PM |     00:01:07
     86866 |                  0.783ms |                   0.566ms |        134 |     0.154% |     Q752441 |    10:29:57 PM |     00:01:08
     88722 |                  0.778ms |                   0.539ms |        135 |     0.152% |     Q767067 |    10:29:58 PM |     00:01:09
     90892 |                  0.771ms |                   0.461ms |        139 |     0.153% |     Q792595 |    10:29:59 PM |     00:01:10
     93597 |                  0.759ms |                    0.37ms |        139 |     0.149% |     Q792595 |    10:29:59 PM |     00:01:11
     95713 |                  0.753ms |                   0.473ms |        140 |     0.146% |     Q821701 |    10:30:01 PM |     00:01:12
     97410 |                   0.75ms |                   0.589ms |        145 |     0.149% |     Q846480 |    10:30:02 PM |     00:01:13
     99396 |                  0.745ms |                   0.504ms |        146 |     0.147% |     Q857940 |    10:30:03 PM |     00:01:14
    101264 |                  0.741ms |                   0.535ms |        148 |     0.146% |     Q876089 |    10:30:04 PM |     00:01:15
    103570 |                  0.734ms |                   0.434ms |        150 |     0.145% |     Q901269 |    10:30:05 PM |     00:01:16
    105596 |                   0.73ms |                   0.494ms |        153 |     0.145% |     Q916698 |    10:30:06 PM |     00:01:17
    107200 |                  0.728ms |                   0.623ms |        158 |     0.147% |     Q931622 |    10:30:07 PM |     00:01:18
    108812 |                  0.726ms |                    0.62ms |        163 |      0.15% |     Q943203 |    10:30:08 PM |     00:01:19
    110446 |                  0.725ms |                   0.612ms |        164 |     0.148% |     Q955788 |    10:30:09 PM |     00:01:20
    112084 |                  0.723ms |                   0.611ms |        164 |     0.146% |     Q955788 |    10:30:09 PM |     00:01:21
    113697 |                  0.722ms |                    0.62ms |        165 |     0.145% |     Q974231 |    10:30:11 PM |     00:01:22
    115972 |                  0.716ms |                    0.44ms |        167 |     0.144% |    Q1003242 |    10:30:12 PM |     00:01:23
    118327 |                   0.71ms |                   0.425ms |        167 |     0.141% |    Q1003242 |    10:30:12 PM |     00:01:24
    120494 |                  0.706ms |                   0.461ms |        167 |     0.139% |    Q1003242 |    10:30:12 PM |     00:01:25
    122379 |                  0.703ms |                   0.531ms |        169 |     0.138% |    Q1055786 |    10:30:15 PM |     00:01:26
    124205 |                  0.701ms |                   0.548ms |        172 |     0.138% |    Q1066345 |    10:30:16 PM |     00:01:27
    125987 |                  0.699ms |                   0.562ms |        177 |      0.14% |    Q1079316 |    10:30:17 PM |     00:01:28
    127993 |                  0.696ms |                   0.499ms |        179 |      0.14% |    Q1102066 |    10:30:18 PM |     00:01:29
