    parsed | total average parse time | recent average parse time |       kept | % of total |   last kept | last kept time | elapsed time
     52573 |                 99.472ms |                  22.222ms |      37326 |    70.998% |   Q15335208 |     3:34:07 AM |     01:27:09
     52574 |                 99.812ms |                   17973ms |      37327 |    70.999% |   Q15335900 |     3:34:25 AM |     01:27:27
     53274 |                  98.52ms |                    1.43ms |      37951 |    71.237% |   Q21173967 |     3:34:26 AM |     01:27:28
     53330 |                 98.435ms |                  18.179ms |      37985 |    71.226% |   Q21440819 |     3:34:27 AM |     01:27:29
     53421 |                 98.287ms |                  11.484ms |      37995 |    71.124% |   Q21498299 |     3:34:28 AM |     01:27:30
     53474 |                 98.208ms |                  18.868ms |      38018 |    71.096% |   Q21973641 |     3:34:29 AM |     01:27:31
     53595 |                 98.005ms |                   8.273ms |      38018 |    70.936% |   Q21973641 |     3:34:29 AM |     01:27:32
     55480 |                 94.694ms |                   0.531ms |      39902 |    71.921% |   Q22312064 |     3:34:31 AM |     01:27:33
     55518 |                 94.662ms |                  48.211ms |      39903 |    71.874% |   Q22312177 |     3:34:33 AM |     01:27:35
     55519 |                 94.697ms |                    2053ms |      39903 |    71.873% |   Q22312177 |     3:34:33 AM |     01:27:37
     55778 |                 94.275ms |                   3.861ms |      39903 |    71.539% |   Q22312177 |     3:34:33 AM |     01:27:38
     56397 |                 93.262ms |                    1.95ms |      39903 |    70.754% |   Q22312177 |     3:34:33 AM |     01:27:39
     56398 |                 93.329ms |                    3882ms |      39903 |    70.753% |   Q22312177 |     3:34:33 AM |     01:27:43
     56460 |                 93.244ms |                  16.129ms |      39965 |    70.785% |   Q24592150 |     3:34:42 AM |     01:27:44
     56461 |                 93.349ms |                    6019ms |      39966 |    70.785% |   Q24603331 |     3:34:48 AM |     01:27:50
     56480 |                 93.336ms |                  52.632ms |      39983 |    70.791% |   Q26252338 |     3:34:49 AM |     01:27:51
     56481 |                 93.409ms |                    4233ms |      39984 |    70.792% |   Q26453707 |     3:34:53 AM |     01:27:55
     56493 |                 93.407ms |                  83.417ms |      39996 |    70.798% |   Q27122165 |     3:34:54 AM |     01:27:56
     56494 |                 93.408ms |                     154ms |      39997 |    70.799% |   Q27123031 |     3:34:54 AM |     01:27:56
     56500 |                 93.416ms |                 166.667ms |      40003 |    70.802% |   Q27303786 |     3:34:55 AM |     01:27:57
     56501 |                 93.429ms |                     853ms |      40004 |    70.802% |   Q27305613 |     3:34:56 AM |     01:27:58
     56624 |                 93.244ms |                   8.146ms |      40004 |    70.648% |   Q27305613 |     3:34:56 AM |     01:27:59
     56625 |                 93.262ms |                    1125ms |      40004 |    70.647% |   Q27305613 |     3:34:56 AM |     01:28:00
     56648 |                 93.242ms |                  43.478ms |      40027 |    70.659% |   Q27917301 |     3:34:59 AM |     01:28:01
     56655 |                 93.251ms |                 167.857ms |      40034 |    70.663% |   Q28053671 |     3:35:01 AM |     01:28:03
     56656 |                 93.269ms |                    1106ms |      40035 |    70.663% |   Q28053771 |     3:35:02 AM |     01:28:04
     56657 |                 93.285ms |                    1001ms |      40036 |    70.664% |   Q28233104 |     3:35:03 AM |     01:28:05
     56658 |                  93.33ms |                    2629ms |      40037 |    70.664% |   Q28233181 |     3:35:05 AM |     01:28:07
     56746 |                 93.203ms |                  11.364ms |      40051 |    70.579% |   Q28598434 |     3:35:06 AM |     01:28:08
     56747 |                 93.274ms |                    4165ms |      40052 |     70.58% |   Q28598483 |     3:35:11 AM |     01:28:13
     56963 |                 92.938ms |                    4.63ms |      40059 |    70.325% |   Q29573083 |     3:35:12 AM |     01:28:14
     56964 |                 92.946ms |                     525ms |      40060 |    70.325% |   Q29573140 |     3:35:12 AM |     01:28:14
     57193 |                 92.591ms |                   4.371ms |      40061 |    70.045% |   Q29877851 |     3:35:13 AM |     01:28:15
     57196 |                 92.614ms |                     527ms |      40064 |    70.047% |   Q30103248 |     3:35:15 AM |     01:28:17
     57197 |                 92.798ms |                   10646ms |      40065 |    70.047% |   Q30103388 |     3:35:25 AM |     01:28:27
     57200 |                 92.811ms |                 333.667ms |      40068 |    70.049% |   Q31373997 |     3:35:26 AM |     01:28:28
     57201 |                 92.886ms |                    4374ms |      40069 |    70.049% |   Q31387276 |     3:35:31 AM |     01:28:33
     57202 |                 92.902ms |                    1001ms |      40069 |    70.048% |   Q31387276 |     3:35:31 AM |     01:28:34
     57203 |                 93.275ms |                   21471ms |      40069 |    70.047% |   Q31387276 |     3:35:31 AM |     01:28:55
     57209 |                 93.283ms |                 166.667ms |      40075 |     70.05% |   Q34333385 |     3:35:54 AM |     01:28:56
     57210 |                 94.079ms |                   45649ms |      40076 |    70.051% |   Q34340174 |     3:36:40 AM |     01:29:42
     57223 |                 94.076ms |                      77ms |      40089 |    70.057% |   Q36813239 |     3:36:41 AM |     01:29:43
     57224 |                  94.42ms |                   19810ms |      40090 |    70.058% |   Q36813244 |     3:37:01 AM |     01:30:03
     57230 |                 94.428ms |                 166.667ms |      40096 |    70.061% |   Q37753195 |     3:37:02 AM |     01:30:04
     57231 |                  94.54ms |                    6524ms |      40097 |    70.062% |   Q37753207 |     3:37:08 AM |     01:30:10
     57232 |                 94.556ms |                    1001ms |      40098 |    70.062% |   Q38253669 |     3:37:09 AM |     01:30:11
     57233 |                   94.9ms |                   19808ms |      40099 |    70.063% |   Q38254414 |     3:37:29 AM |     01:30:31
     57234 |                 94.916ms |                    1001ms |      40099 |    70.062% |   Q38254414 |     3:37:29 AM |     01:30:32
     57235 |                 95.353ms |                   25117ms |      40099 |     70.06% |   Q38254414 |     3:37:29 AM |     01:30:57
     57236 |                 95.584ms |                   13318ms |      40100 |    70.061% |   Q41510887 |     3:38:08 AM |     01:31:10
     57237 |                   95.6ms |                    1001ms |      40101 |    70.061% |   Q42498267 |     3:38:09 AM |     01:31:11
     57238 |                 96.421ms |                   47061ms |      40102 |    70.062% |   Q42501192 |     3:38:56 AM |     01:31:58
     57245 |                 96.426ms |                     143ms |      40109 |    70.066% |   Q47009309 |     3:38:57 AM |     01:31:59
     57246 |                 96.623ms |                   11337ms |      40110 |    70.066% |   Q47009337 |     3:39:09 AM |     01:32:11
     57247 |                 96.639ms |                    1001ms |      40111 |    70.067% |   Q47976408 |     3:39:10 AM |     01:32:12
     57248 |                  96.97ms |                   19051ms |      40112 |    70.067% |   Q47991394 |     3:39:29 AM |     01:32:31
     57252 |                  96.98ms |                   250.5ms |      40116 |    70.069% |   Q50189586 |     3:39:30 AM |     01:32:32
     57253 |                 96.979ms |                      36ms |      40117 |     70.07% |   Q50189598 |     3:39:30 AM |     01:32:32
     58614 |                 94.745ms |                   0.735ms |      41478 |    70.765% |   Q50300005 |     3:39:31 AM |     01:32:33
     58621 |                 94.753ms |                 166.286ms |      41484 |    70.766% |   Q50351515 |     3:39:32 AM |     01:32:34
     58622 |                 94.883ms |                    7731ms |      41485 |    70.767% |   Q50351561 |     3:39:40 AM |     01:32:42
     58627 |                 94.892ms |                   200.2ms |      41490 |    70.769% |   Q51218461 |     3:39:41 AM |     01:32:43
     58628 |                 95.384ms |                   28927ms |      41491 |     70.77% |   Q51218603 |     3:40:10 AM |     01:33:12
     58632 |                 95.395ms |                  250.25ms |      41495 |    70.772% |   Q54810627 |     3:40:11 AM |     01:33:13
     58633 |                 95.417ms |                    1423ms |      41496 |    70.772% |   Q54810639 |     3:40:12 AM |     01:33:14
     58686 |                 95.348ms |                  18.887ms |      41548 |    70.797% |   Q55219542 |     3:40:13 AM |     01:33:15
     58687 |                 95.368ms |                    1253ms |      41549 |    70.798% |   Q55219892 |     3:40:14 AM |     01:33:16
     58688 |                 95.409ms |                    2513ms |      41550 |    70.798% |   Q55458510 |     3:40:17 AM |     01:33:19
     58697 |                 95.412ms |                 111.222ms |      41559 |    70.803% |   Q56058239 |     3:40:18 AM |     01:33:20
     58698 |                 95.427ms |                    1012ms |      41559 |    70.801% |   Q56058239 |     3:40:18 AM |     01:33:21
     58699 |                 95.448ms |                    1332ms |      41560 |    70.802% |   Q56592461 |     3:40:20 AM |     01:33:22
     58738 |                 95.402ms |                  25.641ms |      41599 |    70.821% |   Q56860742 |     3:40:21 AM |     01:33:23
     58739 |                 95.641ms |                   14172ms |      41600 |    70.822% |   Q56860811 |     3:40:35 AM |     01:33:37
     58740 |                 95.657ms |                    1001ms |      41601 |    70.822% |   Q58895593 |     3:40:36 AM |     01:33:38
     58741 |                 95.727ms |                    4232ms |      41602 |    70.823% |   Q58896803 |     3:40:41 AM |     01:33:43
     58742 |                 95.743ms |                    1001ms |      41603 |    70.823% |   Q59923898 |     3:40:42 AM |     01:33:44
     58743 |                 95.748ms |                     422ms |      41604 |    70.824% |   Q59926252 |     3:40:42 AM |     01:33:44
     58744 |                 95.814ms |                    3979ms |      41605 |    70.824% |   Q60192232 |     3:40:46 AM |     01:33:48
     58745 |                  95.83ms |                    1001ms |      41605 |    70.823% |   Q60192232 |     3:40:46 AM |     01:33:49
     58746 |                 95.846ms |                    1024ms |      41605 |    70.822% |   Q60192232 |     3:40:46 AM |     01:33:50
     58748 |                 95.859ms |                     501ms |      41606 |    70.821% |   Q61705466 |     3:40:49 AM |     01:33:51
     58749 |                 95.868ms |                     595ms |      41607 |    70.822% |   Q61707598 |     3:40:50 AM |     01:33:52
     58750 |                 95.887ms |                    1192ms |      41607 |     70.82% |   Q61707598 |     3:40:50 AM |     01:33:53
     58924 |                  95.62ms |                   5.747ms |      41607 |    70.611% |   Q61707598 |     3:40:50 AM |     01:33:54
     59017 |                 95.487ms |                  10.871ms |      41607 |      70.5% |   Q61707598 |     3:40:50 AM |     01:33:55
     59019 |                 95.506ms |                   656.5ms |      41607 |    70.498% |   Q61707598 |     3:40:50 AM |     01:33:56
     59020 |                 95.564ms |                    3508ms |      41607 |    70.496% |   Q61707598 |     3:40:50 AM |     01:34:00
     59021 |                 95.579ms |                    1000ms |      41608 |    70.497% |   Q63771485 |     3:40:59 AM |     01:34:01
     59022 |                 95.804ms |                   13383ms |      41609 |    70.497% |   Q63771487 |     3:41:12 AM |     01:34:14
     59027 |                 95.813ms |                     200ms |      41614 |      70.5% |   Q66986502 |     3:41:13 AM |     01:34:15
     59028 |                  96.15ms |                   19990ms |      41615 |      70.5% |   Q66986507 |     3:41:33 AM |     01:34:35
     59030 |                 96.164ms |                     501ms |      41617 |    70.501% |   Q70551226 |     3:41:34 AM |     01:34:36
     59031 |                 99.297ms |                  185034ms |      41618 |    70.502% |   Q70551239 |     3:44:39 AM |     01:37:41
     59033 |                  99.31ms |                     501ms |      41619 |    70.501% |   Q70684004 |     3:44:40 AM |     01:37:42
     59034 |                 99.323ms |                     884ms |      41620 |    70.502% |   Q98969975 |     3:44:41 AM |     01:37:43
     59041 |                 99.329ms |                     143ms |      41627 |    70.505% |   Q99593727 |     3:44:42 AM |     01:37:44
     59042 |                 99.339ms |                     708ms |      41628 |    70.506% |   Q99593774 |     3:44:43 AM |     01:37:45
     59181 |                 99.123ms |                   7.201ms |      41767 |    70.575% |  Q100163015 |     3:44:44 AM |     01:37:46
     59182 |                 99.168ms |                    2797ms |      41768 |    70.576% |  Q100164206 |     3:44:46 AM |     01:37:48
     59208 |                 99.142ms |                    38.5ms |      41794 |    70.588% |  Q101226986 |     3:44:47 AM |     01:37:49
     59209 |                 99.217ms |                    4563ms |      41795 |    70.589% |  Q101229117 |     3:44:52 AM |     01:37:54
     59222 |                 99.212ms |                  76.923ms |      41808 |    70.595% |  Q104695855 |     3:44:53 AM |     01:37:55
     59223 |                  99.28ms |                    4118ms |      41809 |    70.596% |  Q104708809 |     3:44:57 AM |     01:37:59
     59224 |                 99.295ms |                    1000ms |      41810 |    70.596% |  Q105566932 |     3:44:58 AM |     01:38:00
     59225 |                 99.309ms |                     926ms |      41810 |    70.595% |  Q105566932 |     3:44:58 AM |     01:38:01
     59260 |                 99.267ms |                  28.571ms |      41845 |    70.613% |  Q106519049 |     3:45:00 AM |     01:38:02
     59261 |                 99.455ms |                   11249ms |      41846 |    70.613% |  Q106519116 |     3:45:11 AM |     01:38:13
     59263 |                 99.469ms |                   500.5ms |      41847 |    70.612% |  Q106586493 |     3:45:12 AM |     01:38:14    parsed | total average parse time | recent average parse time |       kept | % of total |   last kept | last kept time | elapsed time

         0 |                      0ms |                       0ms |          0 |         0% |             |              0 |     00:00:00
         2 |                  503.5ms |                   500.5ms |          2 |       100% |      Q30869 |     3:45:14 AM |     00:00:01
         3 |                    661ms |                     976ms |          3 |       100% |      Q61333 |     3:45:15 AM |     00:00:01
         5 |                  596.6ms |                     500ms |          5 |       100% |     Q180951 |     3:45:16 AM |     00:00:02
         8 |                500.375ms |                     340ms |          8 |       100% |     Q189206 |     3:45:17 AM |     00:00:04
         9 |                509.333ms |                     581ms |          9 |       100% |     Q189998 |     3:45:17 AM |     00:00:04
        10 |                  598.6ms |                    1402ms |         10 |       100% |     Q297095 |     3:45:19 AM |     00:00:05
        13 |                537.462ms |                 333.667ms |         13 |       100% |     Q420870 |     3:45:20 AM |     00:00:06
        14 |                603.214ms |                    1458ms |         13 |    92.857% |     Q420870 |     3:45:20 AM |     00:00:08
        16 |                590.313ms |                     500ms |         15 |     93.75% |     Q667636 |     3:45:22 AM |     00:00:09
        17 |                606.412ms |                     864ms |         16 |    94.118% |     Q671136 |     3:45:23 AM |     00:00:10
        19 |                595.263ms |                   500.5ms |         18 |    94.737% |     Q792595 |     3:45:24 AM |     00:00:11
        20 |                  604.2ms |                     774ms |         19 |        95% |     Q842429 |     3:45:25 AM |     00:00:12
        21 |                652.095ms |                    1610ms |         20 |    95.238% |     Q970614 |     3:45:26 AM |     00:00:13
        22 |                930.136ms |                    6769ms |         21 |    95.455% |    Q1140236 |     3:45:33 AM |     00:00:20
        24 |                894.375ms |                     501ms |         23 |    95.833% |    Q2064069 |     3:45:34 AM |     00:00:21
        25 |                 885.12ms |                     663ms |         24 |        96% |    Q2086233 |     3:45:35 AM |     00:00:22
        26 |                    933ms |                    2130ms |         25 |    96.154% |    Q2310773 |     3:45:37 AM |     00:00:24
        27 |                935.481ms |                    1000ms |         26 |    96.296% |    Q2655487 |     3:45:38 AM |     00:00:25
        28 |               1003.393ms |                    2837ms |         27 |    96.429% |    Q2845291 |     3:45:41 AM |     00:00:28
        29 |               1299.897ms |                    9602ms |         28 |    96.552% |    Q3377952 |     3:45:50 AM |     00:00:37
        30 |                 1318.3ms |                    1852ms |         29 |    96.667% |    Q5413568 |     3:45:52 AM |     00:00:39
        31 |               1368.323ms |                    2869ms |         29 |    93.548% |    Q5413568 |     3:45:52 AM |     00:00:42
        32 |               1430.813ms |                    3368ms |         30 |     93.75% |    Q6481696 |     3:45:59 AM |     00:00:45
        34 |               1376.059ms |                     500ms |         32 |    94.118% |    Q7207063 |     3:46:00 AM |     00:00:46
        35 |               1357.486ms |                     726ms |         33 |    94.286% |    Q7280278 |     3:46:00 AM |     00:00:47
        36 |                   1972ms |                   23480ms |         34 |    94.444% |    Q7534916 |     3:46:24 AM |     00:01:10
        37 |               1952.054ms |                    1234ms |         35 |    94.595% |   Q14349455 |     3:46:25 AM |     00:01:12
        87 |                841.678ms |                      20ms |         85 |    97.701% |   Q14908513 |     3:46:26 AM |     00:01:13
        94 |                789.649ms |                     143ms |         92 |    97.872% |   Q14914387 |     3:46:27 AM |     00:01:14
        95 |                786.137ms |                     456ms |         93 |    97.895% |   Q14916256 |     3:46:27 AM |     00:01:14
       100 |                 756.85ms |                   200.4ms |         97 |        97% |   Q15326411 |     3:46:28 AM |     00:01:15
       101 |                807.901ms |                    5913ms |         98 |     97.03% |   Q15329724 |     3:46:34 AM |     00:01:21
       102 |                917.873ms |                   12025ms |         99 |    97.059% |   Q17156451 |     3:46:46 AM |     00:01:33
       257 |                368.183ms |                   6.452ms |        184 |    71.595% |   Q21155600 |     3:46:47 AM |     00:01:34
       280 |                341.689ms |                  45.652ms |        187 |    66.786% |   Q21418859 |     3:46:48 AM |     00:01:35
       352 |                274.722ms |                  14.292ms |        190 |    53.977% |   Q21484280 |     3:46:49 AM |     00:01:36
       404 |                241.849ms |                  19.327ms |        200 |    49.505% |   Q21978575 |     3:46:50 AM |     00:01:37
       483 |                204.364ms |                  12.671ms |        200 |    41.408% |   Q21978575 |     3:46:50 AM |     00:01:38
       484 |                205.213ms |                     615ms |        200 |    41.322% |   Q21978575 |     3:46:50 AM |     00:01:39
       778 |                 128.95ms |                   3.401ms |        475 |    61.054% |   Q22330461 |     3:46:53 AM |     00:01:40
       779 |                132.524ms |                    2913ms |        475 |    60.976% |   Q22330461 |     3:46:53 AM |     00:01:43
       991 |                105.183ms |                   4.717ms |        475 |    47.931% |   Q22330461 |     3:46:53 AM |     00:01:44
      1424 |                 74.016ms |                   2.686ms |        475 |    33.357% |   Q22330461 |     3:46:53 AM |     00:01:45
      1425 |                 77.065ms |                    4419ms |        475 |    33.333% |   Q22330461 |     3:46:53 AM |     00:01:49
      1436 |                 77.171ms |                  90.909ms |        486 |    33.844% |   Q24629103 |     3:47:04 AM |     00:01:50
      1437 |                 80.747ms |                    5215ms |        487 |     33.89% |   Q24629253 |     3:47:09 AM |     00:01:56
      1447 |                  80.88ms |                     100ms |        495 |    34.209% |   Q26253900 |     3:47:10 AM |     00:01:57
      1448 |                 83.709ms |                    4177ms |        496 |    34.254% |   Q26481947 |     3:47:14 AM |     00:02:01
      1449 |                 84.556ms |                    1311ms |        497 |      34.3% |   Q27126305 |     3:47:15 AM |     00:02:02
      1450 |                 85.188ms |                    1002ms |        498 |    34.345% |   Q27312157 |     3:47:16 AM |     00:02:03
      1451 |                 85.517ms |                     562ms |        499 |     34.39% |   Q27312158 |     3:47:17 AM |     00:02:04
      1533 |                 81.596ms |                  12.207ms |        499 |    32.551% |   Q27312158 |     3:47:17 AM |     00:02:05
      1534 |                 86.475ms |                    7566ms |        499 |    32.529% |   Q27312158 |     3:47:17 AM |     00:02:12
      1617 |                 82.654ms |                  12.048ms |        500 |    30.921% |   Q28598873 |     3:47:26 AM |     00:02:13
      1618 |                  85.13ms |                    4088ms |        501 |    30.964% |   Q28598905 |     3:47:31 AM |     00:02:17
      1836 |                 75.567ms |                   4.592ms |        502 |    27.342% |   Q29574295 |     3:47:32 AM |     00:02:18
      1837 |                 75.815ms |                     531ms |        503 |    27.382% |   Q29574390 |     3:47:32 AM |     00:02:19
      2097 |                 66.892ms |                   3.846ms |        503 |    23.987% |   Q29574390 |     3:47:32 AM |     00:02:20
      2101 |                 67.316ms |                   289.5ms |        504 |    23.989% |   Q30105925 |     3:47:34 AM |     00:02:21
      2102 |                 67.689ms |                     852ms |        505 |    24.025% |   Q30105926 |     3:47:35 AM |     00:02:22
      2103 |                 72.433ms |                   10045ms |        505 |    24.013% |   Q30105926 |     3:47:35 AM |     00:02:32
      2104 |                  74.91ms |                    5283ms |        506 |    24.049% |   Q31403913 |     3:47:50 AM |     00:02:37
      2105 |                 85.596ms |                   22569ms |        506 |    24.038% |   Q31403913 |     3:47:50 AM |     00:03:00
      2108 |                 85.949ms |                 333.667ms |        509 |    24.146% |   Q34360120 |     3:48:14 AM |     00:03:01
      2109 |                 88.659ms |                    5801ms |        510 |    24.182% |   Q34360453 |     3:48:20 AM |     00:03:06
      2110 |                119.901ms |                   66011ms |        510 |    24.171% |   Q34360453 |     3:48:20 AM |     00:04:12
      2111 |                129.756ms |                   20922ms |        511 |    24.207% |   Q38261579 |     3:49:47 AM |     00:04:33
      2112 |                141.447ms |                   24823ms |        511 |    24.195% |   Q38261579 |     3:49:47 AM |     00:04:58
      2114 |                141.787ms |                   500.5ms |        513 |    24.267% |   Q41515625 |     3:50:13 AM |     00:04:59
      2115 |                 149.62ms |                   16709ms |        513 |    24.255% |   Q41515625 |     3:50:13 AM |     00:05:16
      2117 |                149.952ms |                     501ms |        515 |    24.327% |   Q42897155 |     3:50:30 AM |     00:05:17
      2118 |                169.322ms |                   41176ms |        516 |    24.363% |   Q42897392 |     3:51:11 AM |     00:05:58
      2119 |                169.715ms |                    1001ms |        517 |    24.398% |   Q47009935 |     3:51:12 AM |     00:05:59
      2120 |                 175.29ms |                   11988ms |        518 |    24.434% |   Q47009964 |     3:51:24 AM |     00:06:11
      2121 |                184.891ms |                   20540ms |        519 |     24.47% |   Q48018229 |     3:51:45 AM |     00:06:32
      2122 |                185.275ms |                    1000ms |        519 |    24.458% |   Q48018229 |     3:51:45 AM |     00:06:33
      2123 |                186.957ms |                    3755ms |        520 |    24.494% |   Q50352641 |     3:51:50 AM |     00:06:36
      2124 |                193.034ms |                   13095ms |        520 |    24.482% |   Q50352641 |     3:51:50 AM |     00:06:50
      2125 |                193.414ms |                    1001ms |        521 |    24.518% |   Q52084539 |     3:52:04 AM |     00:06:51
      2126 |                 202.51ms |                   19531ms |        522 |    24.553% |   Q52084561 |     3:52:23 AM |     00:07:10
      2128 |                 202.79ms |                     501ms |        524 |    24.624% |   Q54810588 |     3:52:24 AM |     00:07:11
      2129 |                205.933ms |                    6893ms |        525 |    24.659% |   Q54810589 |     3:52:31 AM |     00:07:18
      2131 |                206.209ms |                   500.5ms |        525 |    24.636% |   Q54810589 |     3:52:31 AM |     00:07:19
      2132 |                221.274ms |                   32325ms |        525 |    24.625% |   Q54810589 |     3:52:31 AM |     00:07:51
      2422 |                195.193ms |                   3.448ms |        525 |    21.676% |   Q54810589 |     3:52:31 AM |     00:07:52
      2491 |                190.188ms |                  14.522ms |        525 |    21.076% |   Q54810589 |     3:52:31 AM |     00:07:53
      2492 |                191.136ms |                    2551ms |        525 |    21.067% |   Q54810589 |     3:52:31 AM |     00:07:56
      2493 |                191.923ms |                    2155ms |        526 |    21.099% |   Q63165756 |     3:53:11 AM |     00:07:58
      2494 |                197.557ms |                   14242ms |        527 |    21.131% |   Q63771491 |     3:53:25 AM |     00:08:12
      2495 |                197.879ms |                    1001ms |        528 |    21.162% |   Q64040968 |     3:53:26 AM |     00:08:13
      2496 |                204.925ms |                   17786ms |        529 |    21.194% |   Q66986245 |     3:53:44 AM |     00:08:31
      2497 |                205.244ms |                    1001ms |        530 |    21.225% |   Q70197777 |     3:53:45 AM |     00:08:32
      2498 |                205.592ms |                    1073ms |        530 |    21.217% |   Q70197777 |     3:53:45 AM |     00:08:33
      2499 |                 205.91ms |                    1001ms |        531 |    21.248% |   Q70535539 |     3:53:47 AM |     00:08:34
      2500 |                276.269ms |                  176103ms |        532 |     21.28% |   Q70552229 |     3:56:43 AM |     00:11:30
      2501 |                292.409ms |                   40643ms |        532 |    21.271% |   Q70552229 |     3:56:43 AM |     00:12:11
      2502 |                292.692ms |                    1001ms |        533 |    21.303% |      Q26868 |     3:57:25 AM |     00:12:12
      2503 |                292.768ms |                     483ms |        534 |    21.334% |      Q30679 |     3:57:26 AM |     00:12:12
      2504 |                293.051ms |                    1001ms |        534 |    21.326% |      Q30679 |     3:57:26 AM |     00:12:13
      2508 |                293.003ms |                  262.75ms |        537 |    21.411% |     Q180436 |     3:57:28 AM |     00:12:14
      2509 |                293.464ms |                    1449ms |        538 |    21.443% |     Q189094 |     3:57:29 AM |     00:12:16
      2512 |                293.511ms |                 333.333ms |        541 |    21.537% |     Q421987 |     3:57:30 AM |     00:12:17
      2513 |                293.929ms |                    1344ms |        542 |    21.568% |     Q423126 |     3:57:31 AM |     00:12:18
      2514 |                294.818ms |                    2529ms |        543 |    21.599% |     Q465608 |     3:57:34 AM |     00:12:21
      2515 |                295.099ms |                    1000ms |        544 |     21.63% |     Q776995 |     3:57:35 AM |     00:12:22
      2518 |                 295.19ms |                 371.667ms |        547 |    21.724% |     Q904514 |     3:57:36 AM |     00:12:23
      2519 |                 296.24ms |                    2940ms |        548 |    21.755% |     Q906755 |     3:57:39 AM |     00:12:26
      2520 |                298.817ms |                    6790ms |        549 |    21.786% |    Q1337087 |     3:57:46 AM |     00:12:33
      2521 |                299.095ms |                    1001ms |        550 |    21.817% |    Q1668112 |     3:57:47 AM |     00:12:34
      2522 |                 299.31ms |                     840ms |        551 |    21.848% |    Q2309931 |     3:57:48 AM |     00:12:34
      2523 |                301.705ms |                    6342ms |        552 |    21.879% |    Q2614103 |     3:57:54 AM |     00:12:41
      2524 |                304.306ms |                    6867ms |        553 |     21.91% |    Q3819910 |     3:58:01 AM |     00:12:48
      2525 |                304.582ms |                    1001ms |        554 |    21.941% |    Q5323146 |     3:58:02 AM |     00:12:49
      2526 |                305.112ms |                    1643ms |        555 |    21.971% |    Q5465536 |     3:58:03 AM |     00:12:50
      2528 |                305.266ms |                   500.5ms |        557 |    22.033% |    Q6047058 |     3:58:04 AM |     00:12:51
      2529 |                307.716ms |                    6502ms |        557 |    22.025% |    Q6047058 |     3:58:04 AM |     00:12:58
      2530 |                307.991ms |                    1002ms |        558 |    22.055% |    Q7540648 |     3:58:12 AM |     00:12:59
      2531 |                 316.63ms |                   22174ms |        559 |    22.086% |    Q7574986 |     3:58:34 AM |     00:13:21
      2532 |                  316.9ms |                    1001ms |        560 |    22.117% |   Q14349538 |     3:58:35 AM |     00:13:22
      2569 |                312.726ms |                  27.027ms |        597 |    23.239% |   Q14905467 |     3:58:36 AM |     00:13:23
      2587 |                310.937ms |                  55.611ms |        615 |    23.773% |   Q14914556 |     3:58:37 AM |     00:13:24
      2588 |                311.122ms |                     791ms |        616 |    23.802% |   Q14914621 |     3:58:38 AM |     00:13:25
      2595 |                310.669ms |                     143ms |        623 |    24.008% |   Q15331809 |     3:58:39 AM |     00:13:26
      2596 |                311.018ms |                    1217ms |        624 |    24.037% |   Q15334553 |     3:58:40 AM |     00:13:27
      2597 |                311.692ms |                    2063ms |        624 |    24.028% |   Q15334553 |     3:58:40 AM |     00:13:29
      2598 |                316.975ms |                   14037ms |        625 |    24.057% |   Q16336079 |     3:58:56 AM |     00:13:43
      2730 |                302.015ms |                   7.576ms |        699 |    25.604% |   Q21157949 |     3:58:57 AM |     00:13:44
      2753 |                299.859ms |                  43.913ms |        703 |    25.536% |   Q21425638 |     3:58:58 AM |     00:13:45
      2807 |                294.461ms |                  19.259ms |        704 |     25.08% |   Q21483239 |     3:58:59 AM |     00:13:46
      2898 |                 285.56ms |                  10.989ms |        710 |      24.5% |   Q21972767 |     3:59:00 AM |     00:13:47
      2973 |                278.693ms |                  13.347ms |        710 |    23.882% |   Q21972767 |     3:59:00 AM |     00:13:48
      2974 |                278.791ms |                     571ms |        710 |    23.874% |   Q21972767 |     3:59:00 AM |     00:13:49
      3295 |                251.934ms |                   3.115ms |       1011 |    30.683% |   Q22330470 |     3:59:03 AM |     00:13:50
      3296 |                252.742ms |                    2912ms |       1011 |    30.674% |   Q22330470 |     3:59:03 AM |     00:13:53
      3502 |                 238.16ms |                   4.859ms |       1011 |    28.869% |   Q22330470 |     3:59:03 AM |     00:13:54
      3956 |                211.125ms |                   2.586ms |       1011 |    25.556% |   Q22330470 |     3:59:03 AM |     00:13:55
      3957 |                212.196ms |                    4448ms |       1011 |     25.55% |   Q22330470 |     3:59:03 AM |     00:13:59
      3960 |                212.288ms |                 333.667ms |       1014 |    25.606% |   Q24570670 |     3:59:13 AM |     00:14:00
      3961 |                213.559ms |                    5249ms |       1015 |    25.625% |   Q24576590 |     3:59:19 AM |     00:14:05
      3966 |                213.543ms |                   200.2ms |       1017 |    25.643% |   Q26253868 |     3:59:20 AM |     00:14:06
      3967 |                214.552ms |                    4217ms |       1018 |    25.662% |   Q26253890 |     3:59:24 AM |     00:14:11
      3972 |                214.534ms |                   200.4ms |       1023 |    25.755% |   Q27126469 |     3:59:25 AM |     00:14:12
      3973 |                214.961ms |                    1911ms |       1024 |    25.774% |   Q27126587 |     3:59:27 AM |     00:14:14
      4042 |                211.539ms |                  14.507ms |       1024 |    25.334% |   Q27126587 |     3:59:27 AM |     00:14:15
